,chi3 effective,freq (Hartree),freq (eV),gamma effective,warning_flag
0,1.3481778970158578e-17,0.003,0.08163415806,12752744.348723333,False
1,2.0475567833545806e-17,0.006,0.16326831612,19361196.94229,False
2,1.048543098076471e-17,0.009000000000000001,0.24490247418000002,9908668.65435333,False
3,1.3115368943435464e-17,0.012,0.32653663224,12383258.577993333,True
4,1.3918844056288902e-17,0.015,0.4081707903,13127292.755803334,False
5,1.8427368590741615e-17,0.018000000000000002,0.48980494836000005,17355792.189463332,False
6,2.777254943257989e-17,0.021,0.5714391064200001,26115404.963426664,False
7,5.57123800863192e-17,0.024,0.65307326448,52290463.19652999,False
8,1.7435396331872557e-16,0.027,0.73470742254,163298104.5455133,False
9,3.718851842929554e-17,0.033,0.89797573866,34655840.75123666,False
10,1.0600642959977001e-18,0.036000000000000004,0.9796098967200001,985000.3719933406,False
11,-1.2814372067450193e-18,0.039,1.06124405478,-1186918.0589633286,False
12,-6.031622240547272e-18,0.042,1.1428782128400001,-5567461.876229998,False
13,-9.399346847645653e-19,0.045,1.2245123708999999,-864367.8505500033,False
14,-9.619569960915597e-18,0.048,1.30614652896,-8810687.3338,False
15,-4.2856112853690795e-18,0.051000000000000004,1.38778068702,-3908340.6929766666,False
16,-6.813920266438057e-19,0.054,1.46941484508,-618544.5031199986,False
17,2.7061348353401807e-17,0.057,1.55104900314,24444562.675653335,False
18,1.2863218446475725e-17,0.0,0.0,12169128.427413333,False
